,mu_intercept,alpha__0,alpha__1,alpha__2,alpha__3,alpha__4,alpha__5,alpha__6,alpha__7,alpha__8,alpha__9,alpha__10,alpha__11,alpha__12,alpha__13,alpha__14,alpha__15,alpha__16,alpha__17,alpha__18,alpha__19,alpha__20,alpha__21,alpha__22,alpha__23,alpha__24,alpha__25,alpha__26,beta_exp__0,beta_exp__1,beta_exp__2,beta_task,sd_intercept,sigma
2223,0.9249998829229904,0.17724033123381228,-0.889525139477536,-0.9418988060381845,0.8219914969205244,0.19983697624840324,0.23490810956878974,-1.224534632109712,1.6411391774101662,0.5608379958273668,-0.019053879146875768,0.10607879961488798,0.7553079194866392,0.6666175121318239,0.7750833030254742,0.6454268393164649,-1.4876054266668897,1.1049051372246068,1.6762278428106105,-0.032207599598580765,1.236479767665944,0.45171722380697404,-0.7923413376346415,-1.7725956624650272,-0.2149020069586798,-1.2447560516675105,-0.23735832979450877,2.467114785004352,0.07732646156533077,0.15290072438982594,0.2688587019647353,0.36293061562218465,0.2276684225717707,0.28787294092430915
2224,0.999564109920058,0.06341244665208413,-0.8803312523220028,-1.6745666860777157,0.4132174795126937,-0.14288661183356546,0.63629422211342,-1.5517368776236191,1.7752771179512936,0.2729000907893058,-0.18421146042296255,-0.6140773532380535,0.2669921497672019,0.8228336670666856,0.2612863805994693,0.4637528724470834,-1.0931730045202621,0.9697090097038293,0.6877595400598892,-0.10388459999096206,1.2251989236317913,0.8070332766408937,-1.2308020201354626,-1.7849113288770566,0.35311467103977445,-1.2897364886859417,0.012465851270358192,2.3637919099457623,0.07945134829196823,0.190261959352886,0.3092991207591433,0.3181084592053643,0.35036690122360964,0.2859083354527121
2225,0.9589813241895483,0.5053468430827808,-0.0064663961879145365,-0.9464945191147308,0.55638611556182,1.2872575829414332,0.42037033203858293,0.21327533848670938,1.8060491658132773,-0.1029706591922585,-0.33728695290660277,-0.25288055760203065,-0.1477701466417352,0.3146236276233402,0.28069026657275975,1.3338657072802365,-0.22008419426163048,0.512599558539472,1.4958120635893686,-1.7049896142333698,2.1592256185152032,0.5938158768910942,1.4433687738545014,-1.0015389532649224,-0.5658448351962104,-0.345993280185166,-1.0124836659017602,1.339264541529159,0.14073887421770018,0.1736587408806945,0.19365723089064318,0.2931592233477486,0.33850827409002515,0.2676526962749722
2226,1.2650696351589716,0.6286966609735851,-1.3083023142365742,-2.4567808077073083,0.7033633417977637,-0.31326446683059106,0.20209899454615546,-1.6432569685812712,1.6344672020427349,-0.5040287473412575,-1.4010332914883226,-1.0223242892438993,0.07513850238301083,0.07894834814922556,-0.0944433315559584,0.06531690471802183,-1.4367693824611416,0.8305678152362731,0.6662937852629056,-0.33215432895000574,0.2756025680199681,-0.7338638455019442,-2.441660592115438,-2.3546931361217234,0.7641147778957246,-0.5895834533721801,0.7009398627099123,1.8275747021718385,-0.21911381167101948,-0.03975856614476483,0.11281287434001715,0.2961889620390617,0.23788918009147336,0.2829290037179597
2227,1.31686654497874,0.21200055416121397,-0.4688905550416581,-2.589662400371672,-0.25931999919931675,0.33289354198659643,0.3915895984358464,-0.7504727830243514,1.6479599491347652,-1.2853287934406472,-0.10294827170750974,-0.6924031560378223,-1.0189304393243293,0.05011525200389652,-0.4425998157572558,0.6721736775776407,-2.561040518146405,0.2681866900275325,0.848442393797042,-0.48038423890223847,2.6309444436913467,-0.04821380708601997,-0.6698423794652931,-1.9352385374138483,-0.6773049416571101,-1.4677829143342571,-0.3454497584831524,1.2082568705946433,-0.11380683116917113,-0.011727448981074466,-0.02673795048952932,0.2601429259970392,0.2765439080659058,0.2871084790649381
2228,1.2592637649780238,-0.3441440600137347,-1.5659179214090757,-1.2306881402895116,0.3318364612950768,0.2616123580643235,-0.19466167504202825,-1.0104814148799965,1.1283780432424542,-0.2885257767565956,-0.13409257919844236,-0.47204352192554855,-1.1351620071530784,0.5449066188413609,-1.0641741108388223,0.8739425448450746,-0.8027581493174357,0.8600916389310135,0.5610708228651381,-0.8698449755462879,1.2812743285877102,-0.2755756685698428,-1.7795939873777231,-1.6031606454918224,1.5140332466970456,-0.5278073894947457,1.4349392096655285,0.8851171787345191,0.005264126213632569,-0.08593276961336464,0.18025975030733693,0.2566023249621346,0.27087162064567843,0.3198515350350882
2229,1.2011895364826695,0.12181194262289126,-2.0880617870956395,-2.4445441308195144,0.5697495924209383,0.1480930265720899,-0.5619466445165775,-1.8570358484961966,1.1047091125469932,-0.629995964301853,-0.611477952244481,-0.453560993795513,-1.2412499807854198,0.2592118060427918,-0.5181513260633466,0.8863218392809628,-0.7235649962890585,1.737588614234554,0.880652449899087,-1.0531815195594583,1.3258376555781388,-0.19701077895426397,-1.2200738055931997,-1.5585634106871606,0.06361911750733724,-0.5730246004879537,0.20724718562711472,1.012629685005905,-0.09433421642171776,0.07339737143579962,0.12137819517336113,0.23501817692316704,0.2823508537099026,0.2944797808227082
2230,1.1549236101598366,0.21909777025125832,0.4868466761872865,-1.1167469343165275,0.35051812134866817,0.3638166579132539,0.4454358402357936,-1.1843465160675408,2.3824159105280955,0.08869195741939578,-0.7685672495354392,-1.1437324531761153,0.1563738763870796,0.005419238262956582,0.5833017515385365,1.1014841418865267,-1.139693911292741,-0.1727117835272068,2.016996420868646,-0.30132531862448764,2.403872300964011,0.41755425884572356,0.40266354275776794,-0.2503459689705244,0.7062296409317333,-0.780379832680338,-0.11633739226351628,1.6237541430587439,-0.2742468929714643,-0.06631336471469959,-0.14980732811429479,0.3779413824323445,0.23351604268146844,0.2914703514158115
2231,1.1385123576394272,1.3902566558624554,-1.2115993542040848,-1.7315344196765465,1.0215424224182084,0.8998693148303285,0.5043789962041364,-0.45674812951373317,1.9370358030026606,-0.22958577741210479,-1.0383701831381575,0.1349602979327808,0.5327685951343751,0.9009906179610001,1.0976054660620695,0.14435721090606188,-0.1639415007751805,1.1727679042872754,0.49371358070319604,-0.08375322748837095,0.9828205576316397,0.8834689457375143,0.8658912511226736,-1.0219580912402177,0.3476040622309861,-0.24138512735046277,0.29785362852003694,0.8846105909127158,-0.2978042125043077,-0.2844032444917441,0.03750421702952499,0.3269462950357083,0.3060377588939243,0.28514684530533896
2232,1.0711655043469723,0.9427549257122169,-0.7585388414934778,-0.6698470267407463,0.6882183290928827,0.602038003947654,0.471183268519795,-0.748910080961922,2.0634376943043105,1.1425324502852239,-0.17257686930412022,-0.49864036171390896,-0.08137374961735959,0.34777989705151835,-0.06624782553050222,1.8742132572067467,-0.7760200456253747,2.112974789090222,1.3492739876030364,-0.6838165840021774,1.5271645091861628,0.8714099504870215,-0.30874354663535236,-0.300003128661984,1.0266785352869099,-0.6204698588991215,0.5496237693562459,3.286946649009328,-0.22592599050918283,-0.008387747502142235,-0.1424178987024086,0.42258687293772834,0.2613387335772591,0.3171345883623953
